,timestamp_full,location,price,date,fullname,CarID,CurrentEmploymentType,CurrentEmploymentTitle
0,2014-01-06 07:28:00,Brew've Been Served,11.34,2014-01-06,Edvard Vann,34.0,Security,Perimeter Control
1,2014-01-06 13:23:00,Hippokampos,13.26,2014-01-06,Edvard Vann,34.0,Security,Perimeter Control
2,2014-01-07 07:33:00,Brew've Been Served,7.09,2014-01-07,Edvard Vann,34.0,Security,Perimeter Control
3,2014-01-07 13:33:00,Kalami Kafenion,18.06,2014-01-07,Edvard Vann,34.0,Security,Perimeter Control
4,2014-01-07 20:10:00,Guy's Gyros,26.82,2014-01-07,Edvard Vann,34.0,Security,Perimeter Control
5,2014-01-08 08:00:00,Brew've Been Served,32.3,2014-01-08,Edvard Vann,34.0,Security,Perimeter Control
6,2014-01-08 13:15:00,Hippokampos,9.03,2014-01-08,Edvard Vann,34.0,Security,Perimeter Control
7,2014-01-09 07:48:00,Brew've Been Served,5.13,2014-01-09,Edvard Vann,34.0,Security,Perimeter Control
8,2014-01-09 13:21:00,Gelatogalore,23.45,2014-01-09,Edvard Vann,34.0,Security,Perimeter Control
9,2014-01-09 20:19:00,General Grocer,285.34,2014-01-09,Edvard Vann,34.0,Security,Perimeter Control
10,2014-01-10 07:56:00,Brew've Been Served,97.25,2014-01-10,Edvard Vann,34.0,Security,Perimeter Control
11,2014-01-10 13:20:00,Hippokampos,79.26,2014-01-10,Edvard Vann,34.0,Security,Perimeter Control
12,2014-01-10 14:41:00,Octavio's Office Supplies,139.72,2014-01-10,Edvard Vann,34.0,Security,Perimeter Control
13,2014-01-10 19:54:00,Guy's Gyros,27.78,2014-01-10,Edvard Vann,34.0,Security,Perimeter Control
14,2014-01-11 16:24:00,Ahaggo Museum,89.32,2014-01-11,Edvard Vann,34.0,Security,Perimeter Control
15,2014-01-11 19:29:00,Hippokampos,63.21,2014-01-11,Edvard Vann,34.0,Security,Perimeter Control
16,2014-01-13 07:43:00,Brew've Been Served,18.71,2014-01-13,Edvard Vann,34.0,Security,Perimeter Control
17,2014-01-13 13:37:00,Ouzeri Elian,95.03,2014-01-13,Edvard Vann,34.0,Security,Perimeter Control
18,2014-01-13 20:11:00,Guy's Gyros,20.47,2014-01-13,Edvard Vann,34.0,Security,Perimeter Control
